#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
321312:7056,1:1,08/15/18 20:55:17,STABLE BEAMS,6500,3896.428,3857.499,11.5,HFET
321312:7056,2:2,08/15/18 20:55:41,STABLE BEAMS,6500,3952.972,3913.254,11.5,HFET
321312:7056,3:3,08/15/18 20:56:04,STABLE BEAMS,6500,4087.818,4045.228,10.7,HFET
321312:7056,4:4,08/15/18 20:56:27,STABLE BEAMS,6500,4106.597,4045.430,11.5,HFET
321312:7056,5:5,08/15/18 20:56:51,STABLE BEAMS,6500,4104.179,4042.964,11.5,HFET
321312:7056,6:6,08/15/18 20:57:14,STABLE BEAMS,6500,1530.951,1511.599,11.5,HFET
321312:7056,7:7,08/15/18 20:57:37,STABLE BEAMS,6500,1299.741,1286.593,1.3,HFET
321312:7056,8:8,08/15/18 20:58:01,STABLE BEAMS,6500,2865.890,2829.228,6.6,HFET
321312:7056,9:9,08/15/18 20:58:24,STABLE BEAMS,6500,3958.770,3900.772,10.0,HFET
321312:7056,10:10,08/15/18 20:58:47,STABLE BEAMS,6500,3307.927,3263.482,11.1,HFET
321312:7056,11:11,08/15/18 20:59:11,STABLE BEAMS,6500,1751.058,1732.275,6.5,HFET
321312:7056,12:12,08/15/18 20:59:34,STABLE BEAMS,6500,657.034,651.184,3.2,HFET
321312:7056,13:13,08/15/18 20:59:57,STABLE BEAMS,6500,2568.700,2533.508,7.6,HFET
321312:7056,14:14,08/15/18 21:00:20,STABLE BEAMS,6500,1099.835,1089.370,1.8,HFET
321312:7056,15:15,08/15/18 21:00:44,STABLE BEAMS,6500,2667.718,2634.430,4.0,HFET
321312:7056,16:16,08/15/18 21:01:07,STABLE BEAMS,6500,3873.731,3761.522,10.1,HFET
321312:7056,17:17,08/15/18 21:01:30,STABLE BEAMS,6500,3619.743,3569.308,11.5,HFET
321312:7056,18:18,08/15/18 21:01:54,STABLE BEAMS,6500,2117.451,2093.534,7.2,HFET
321312:7056,19:19,08/15/18 21:02:17,STABLE BEAMS,6500,916.969,908.560,4.0,HFET
321312:7056,20:20,08/15/18 21:02:40,STABLE BEAMS,6500,3776.883,3721.402,2.8,HFET
321312:7056,21:21,08/15/18 21:03:04,STABLE BEAMS,6500,4086.514,4025.843,11.4,HFET
321312:7056,22:22,08/15/18 21:03:27,STABLE BEAMS,6500,4084.513,4018.044,11.4,HFET
321312:7056,23:23,08/15/18 21:03:50,STABLE BEAMS,6500,4082.583,4022.236,11.4,HFET
321312:7056,24:24,08/15/18 21:04:14,STABLE BEAMS,6500,4081.554,4020.955,11.4,HFET
321312:7056,25:25,08/15/18 21:04:37,STABLE BEAMS,6500,4080.562,4020.158,11.4,HFET
321312:7056,26:26,08/15/18 21:05:00,STABLE BEAMS,6500,4085.951,4025.284,11.4,HFET
321312:7056,27:27,08/15/18 21:05:24,STABLE BEAMS,6500,4086.338,4025.605,11.4,HFET
321312:7056,28:28,08/15/18 21:05:47,STABLE BEAMS,6500,4080.929,4020.238,11.4,HFET
321312:7056,29:29,08/15/18 21:06:10,STABLE BEAMS,6500,4076.058,4015.400,11.4,HFET
321312:7056,30:30,08/15/18 21:06:33,STABLE BEAMS,6500,4067.064,4006.757,11.4,HFET
321312:7056,31:31,08/15/18 21:06:57,STABLE BEAMS,6500,4076.302,4015.751,11.4,HFET
321312:7056,32:32,08/15/18 21:07:20,STABLE BEAMS,6500,4081.680,4020.921,11.4,HFET
321312:7056,33:33,08/15/18 21:07:43,STABLE BEAMS,6500,4073.970,4013.395,11.4,HFET
321312:7056,34:34,08/15/18 21:08:07,STABLE BEAMS,6500,4070.433,4010.172,11.4,HFET
321312:7056,35:35,08/15/18 21:08:30,STABLE BEAMS,6500,4065.927,4005.589,11.4,HFET
321312:7056,36:36,08/15/18 21:08:53,STABLE BEAMS,6500,4062.231,4002.218,11.4,HFET
321312:7056,37:37,08/15/18 21:09:17,STABLE BEAMS,6500,4064.061,4003.848,11.4,HFET
321312:7056,38:38,08/15/18 21:09:40,STABLE BEAMS,6500,4061.905,4001.799,11.4,HFET
321312:7056,39:39,08/15/18 21:10:03,STABLE BEAMS,6500,4061.972,4001.841,11.4,HFET
321312:7056,40:40,08/15/18 21:10:27,STABLE BEAMS,6500,4063.058,4002.974,11.4,HFET
321312:7056,41:41,08/15/18 21:10:50,STABLE BEAMS,6500,4060.868,3943.667,11.4,HFET
321312:7056,42:42,08/15/18 21:11:13,STABLE BEAMS,6500,4059.063,3941.937,11.4,HFET
321312:7056,43:43,08/15/18 21:11:37,STABLE BEAMS,6500,4056.087,3936.645,11.3,HFET
321312:7056,44:44,08/15/18 21:12:00,STABLE BEAMS,6500,4053.675,3993.831,11.3,HFET
321312:7056,45:45,08/15/18 21:12:23,STABLE BEAMS,6500,4052.347,3992.276,11.3,HFET
321312:7056,46:46,08/15/18 21:12:46,STABLE BEAMS,6500,4051.377,3991.494,11.3,HFET
321312:7056,47:47,08/15/18 21:13:10,STABLE BEAMS,6500,4047.730,3987.940,11.3,HFET
321312:7056,48:48,08/15/18 21:13:33,STABLE BEAMS,6500,4040.992,3981.140,11.3,HFET
321312:7056,49:49,08/15/18 21:13:56,STABLE BEAMS,6500,4050.003,3990.002,11.3,HFET
321312:7056,50:50,08/15/18 21:14:20,STABLE BEAMS,6500,4042.990,3983.396,11.3,HFET
321312:7056,51:51,08/15/18 21:14:43,STABLE BEAMS,6500,4040.135,3980.508,11.3,HFET
321312:7056,52:52,08/15/18 21:15:06,STABLE BEAMS,6500,4038.412,3978.844,11.3,HFET
321312:7056,53:53,08/15/18 21:15:30,STABLE BEAMS,6500,4037.261,3977.712,11.3,HFET
321312:7056,54:54,08/15/18 21:15:53,STABLE BEAMS,6500,4035.788,3976.097,11.3,HFET
321312:7056,55:55,08/15/18 21:16:16,STABLE BEAMS,6500,4035.970,3976.258,11.3,HFET
321312:7056,56:56,08/15/18 21:16:40,STABLE BEAMS,6500,4036.138,3976.530,11.3,HFET
321312:7056,57:57,08/15/18 21:17:03,STABLE BEAMS,6500,4030.761,3971.324,11.3,HFET
321312:7056,58:58,08/15/18 21:17:26,STABLE BEAMS,6500,4034.116,3974.587,11.3,HFET
321312:7056,59:59,08/15/18 21:17:49,STABLE BEAMS,6500,4036.993,3977.337,11.3,HFET
321312:7056,60:60,08/15/18 21:18:13,STABLE BEAMS,6500,4035.338,3975.636,11.3,HFET
321312:7056,61:61,08/15/18 21:18:36,STABLE BEAMS,6500,4030.793,3971.325,11.3,HFET
321312:7056,62:62,08/15/18 21:18:59,STABLE BEAMS,6500,4028.658,3969.044,11.3,HFET
321312:7056,63:63,08/15/18 21:19:23,STABLE BEAMS,6500,4026.776,3967.400,11.3,HFET
321312:7056,64:64,08/15/18 21:19:46,STABLE BEAMS,6500,4023.482,3963.857,11.3,HFET
321312:7056,65:65,08/15/18 21:20:09,STABLE BEAMS,6500,4023.099,3963.692,11.3,HFET
