#Data tag : v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+------+----------------+---------------+
| 315257:6615 | 04/26/18 21:09:40 | 90   | 90   | 8.245          | 7.876         |
| 315259:6615 | 04/26/18 21:54:51 | 172  | 172  | 14.105         | 13.742        |
| 315264:6616 | 04/27/18 02:45:32 | 230  | 230  | 40.706         | 39.013        |
| 315265:6616 | 04/27/18 04:20:05 | 55   | 55   | 9.150          | 6.337         |
| 315267:6616 | 04/27/18 04:59:11 | 244  | 244  | 37.455         | 36.402        |
| 315270:6616 | 04/27/18 06:44:15 | 633  | 633  | 78.781         | 77.040        |
| 315322:6617 | 04/27/18 14:41:34 | 1329 | 1329 | 180.354        | 176.234       |
| 315339:6618 | 04/28/18 03:06:24 | 618  | 618  | 93.854         | 91.555        |
| 315357:6620 | 04/28/18 19:32:25 | 776  | 776  | 152.937        | 149.061       |
| 315361:6621 | 04/29/18 03:17:58 | 580  | 580  | 120.356        | 116.454       |
| 315363:6621 | 04/29/18 07:08:35 | 86   | 86   | 14.548         | 14.145        |
| 315366:6621 | 04/29/18 08:43:30 | 736  | 736  | 98.893         | 97.360        |
| 315420:6624 | 04/29/18 23:54:09 | 1707 | 1707 | 257.304        | 251.849       |
| 315488:6628 | 04/30/18 19:08:38 | 802  | 802  | 191.253        | 186.123       |
| 315489:6628 | 05/01/18 02:09:59 | 691  | 691  | 101.560        | 99.820        |
| 315490:6628 | 05/01/18 06:53:23 | 24   | 24   | 2.452          | 2.420         |
| 315506:6629 | 05/01/18 10:08:40 | 88   | 88   | 28.847         | 27.405        |
| 315510:6629 | 05/01/18 11:10:29 | 345  | 345  | 104.301        | 100.746       |
| 315512:6629 | 05/01/18 13:27:09 | 1122 | 1122 | 233.169        | 228.885       |
| 315543:6633 | 05/02/18 04:09:50 | 117  | 117  | 37.050         | 36.092        |
| 315555:6636 | 05/02/18 09:42:48 | 76   | 76   | 23.792         | 21.465        |
| 315556:6636 | 05/02/18 10:15:54 | 26   | 26   | 8.783          | 8.215         |
| 315557:6636 | 05/02/18 10:30:10 | 279  | 279  | 84.162         | 82.077        |
| 315640:6638 | 05/02/18 21:31:41 | 42   | 42   | 14.536         | 10.229        |
| 315641:6638 | 05/02/18 21:56:12 | 4    | 4    | 1.486          | 1.206         |
| 315642:6638 | 05/02/18 22:03:16 | 92   | 92   | 31.866         | 30.611        |
| 315644:6638 | 05/02/18 22:42:00 | 184  | 184  | 63.058         | 61.476        |
| 315645:6638 | 05/02/18 23:58:43 | 583  | 583  | 159.610        | 155.821       |
| 315646:6638 | 05/03/18 03:51:56 | 1033 | 1033 | 186.871        | 183.546       |
| 315647:6638 | 05/03/18 10:38:46 | 58   | 58   | 8.225          | 7.609         |
| 315648:6638 | 05/03/18 11:04:01 | 110  | 110  | 14.709         | 14.436        |
| 315689:6639 | 05/03/18 14:58:22 | 1111 | 1111 | 327.723        | 318.716       |
| 315690:6639 | 05/03/18 22:39:08 | 645  | 645  | 115.778        | 113.713       |
| 315702:6640 | 05/04/18 08:08:15 | 76   | 76   | 23.753         | 22.079        |
| 315703:6640 | 05/04/18 08:40:27 | 545  | 545  | 157.617        | 152.389       |
| 315704:6640 | 05/04/18 12:15:58 | 61   | 61   | 14.542         | 14.132        |
| 315705:6640 | 05/04/18 12:42:46 | 700  | 700  | 128.889        | 126.734       |
| 315713:6641 | 05/04/18 19:35:25 | 1061 | 1061 | 353.461        | 341.834       |
| 315721:6642 | 05/05/18 05:08:15 | 589  | 589  | 211.774        | 204.088       |
| 315741:6643 | 05/05/18 11:57:44 | 59   | 59   | 24.566         | 23.130        |
| 315764:6645 | 05/05/18 15:48:29 | 273  | 273  | 116.074        | 111.100       |
| 315770:6646 | 05/06/18 02:20:23 | 294  | 294  | 122.843        | 118.527       |
| 315784:6648 | 05/06/18 11:07:00 | 126  | 126  | 52.152         | 50.278        |
| 315785:6648 | 05/06/18 12:23:07 | 303  | 303  | 105.687        | 102.395       |
| 315786:6648 | 05/06/18 14:25:10 | 72   | 72   | 21.825         | 20.989        |
| 315790:6648 | 05/06/18 18:12:53 | 921  | 921  | 170.562        | 166.944       |
| 315800:6650 | 05/07/18 06:55:20 | 581  | 581  | 205.875        | 199.213       |
| 315801:6650 | 05/07/18 10:57:12 | 344  | 344  | 97.567         | 95.075        |
| 315840:6654 | 05/07/18 21:19:17 | 1122 | 1122 | 351.844        | 341.882       |
| 315973:6659 | 05/08/18 23:33:11 | 855  | 855  | 274.264        | 267.199       |
| 315974:6659 | 05/09/18 05:17:09 | 71   | 71   | 18.136         | 17.615        |
| 316058:6662 | 05/09/18 20:47:17 | 364  | 364  | 137.850        | 132.477       |
| 316059:6662 | 05/09/18 23:10:21 | 566  | 566  | 170.797        | 163.189       |
| 316060:6662 | 05/10/18 02:53:15 | 935  | 935  | 193.002        | 187.857       |
| 316061:6662 | 05/10/18 09:00:15 | 36   | 36   | 5.891          | 5.790         |
| 316062:6662 | 05/10/18 10:24:04 | 4    | 4    | 0.668          | 0.657         |
| 316082:6663 | 05/10/18 12:45:59 | 371  | 371  | 140.908        | 136.602       |
| 316110:6666 | 05/10/18 21:22:27 | 210  | 210  | 81.613         | 79.017        |
| 316111:6666 | 05/10/18 22:46:45 | 48   | 48   | 16.975         | 14.573        |
| 316113:6666 | 05/10/18 23:16:41 | 64   | 64   | 21.410         | 19.663        |
| 316114:6666 | 05/10/18 23:42:59 | 1561 | 1561 | 358.224        | 349.063       |
| 316153:6672 | 05/11/18 17:03:13 | 770  | 770  | 252.484        | 245.457       |
| 316186:6674 | 05/12/18 03:00:17 | 44   | 44   | 16.476         | 14.559        |
| 316187:6674 | 05/12/18 03:18:33 | 1970 | 1970 | 508.314        | 487.254       |
| 316199:6675 | 05/12/18 18:55:11 | 1165 | 1165 | 401.782        | 387.885       |
| 316200:6675 | 05/13/18 02:29:15 | 10   | 10   | 2.538          | 2.131         |
| 316201:6675 | 05/13/18 02:36:35 | 498  | 498  | 111.650        | 105.992       |
| 316202:6675 | 05/13/18 05:53:20 | 403  | 403  | 74.552         | 72.309        |
| 316216:6677 | 05/13/18 11:57:39 | 442  | 442  | 173.197        | 165.690       |
| 316217:6677 | 05/13/18 15:05:04 | 264  | 264  | 88.195         | 85.025        |
| 316218:6677 | 05/13/18 16:52:48 | 1008 | 1008 | 241.224        | 234.342       |
| 316219:6677 | 05/13/18 23:33:20 | 283  | 283  | 48.536         | 47.182        |
| 316239:6681 | 05/14/18 05:52:33 | 589  | 589  | 210.013        | 201.883       |
| 316240:6681 | 05/14/18 09:45:29 | 1224 | 1224 | 282.789        | 273.274       |
| 316241:6681 | 05/14/18 17:44:39 | 324  | 324  | 53.101         | 51.083        |
| 316271:6683 | 05/15/18 00:23:55 | 86   | 86   | 31.057         | 28.762        |
| 316361:6688 | 05/15/18 17:14:36 | 189  | 189  | 27.849         | 25.926        |
| 316362:6688 | 05/15/18 18:35:05 | 425  | 425  | 54.297         | 52.631        |
| 316363:6688 | 05/15/18 21:31:00 | 48   | 48   | 4.817          | 4.495         |
| 316377:6690 | 05/16/18 01:56:03 | 21   | 21   | 3.166          | 1.877         |
| 316378:6690 | 05/16/18 02:06:25 | 29   | 29   | 6.082          | 3.262         |
| 316379:6690 | 05/16/18 02:20:14 | 70   | 70   | 14.274         | 8.038         |
| 316380:6690 | 05/16/18 02:51:00 | 1208 | 1208 | 174.669        | 170.741       |
| 316455:6693 | 05/16/18 19:16:26 | 36   | 36   | 9.627          | 9.305         |
| 316457:6693 | 05/16/18 19:38:29 | 1454 | 1454 | 324.996        | 315.849       |
| 316469:6694 | 05/17/18 07:48:26 | 428  | 428  | 149.022        | 144.078       |
| 316470:6694 | 05/17/18 11:54:10 | 476  | 476  | 116.666        | 112.693       |
| 316472:6694 | 05/17/18 15:00:36 | 329  | 329  | 65.841         | 64.028        |
| 316505:6696 | 05/18/18 00:24:12 | 1319 | 1319 | 399.244        | 386.449       |
| 316569:6700 | 05/19/18 02:15:14 | 1888 | 1888 | 480.807        | 467.453       |
| 316590:6702 | 05/19/18 20:55:26 | 510  | 510  | 188.488        | 182.608       |
| 316613:6706 | 05/20/18 07:52:23 | 193  | 193  | 31.471         | 30.819        |
| 316615:6706 | 05/20/18 09:12:46 | 338  | 338  | 48.910         | 48.015        |
| 316666:6709 | 05/20/18 21:51:34 | 981  | 981  | 279.716        | 269.001       |
| 316667:6709 | 05/21/18 04:15:41 | 197  | 197  | 41.951         | 40.544        |
| 316700:6710 | 05/21/18 11:45:23 | 311  | 311  | 117.455        | 110.277       |
| 316701:6710 | 05/21/18 14:12:33 | 479  | 479  | 145.076        | 138.597       |
| 316702:6710 | 05/21/18 17:21:19 | 388  | 388  | 94.683         | 91.827        |
| 316715:6711 | 05/22/18 01:10:33 | 13   | 13   | 3.223          | 2.907         |
| 316716:6711 | 05/22/18 01:30:22 | 181  | 181  | 67.196         | 59.547        |
| 316717:6711 | 05/22/18 02:44:01 | 192  | 192  | 64.141         | 61.000        |
| 316718:6711 | 05/22/18 04:00:36 | 311  | 311  | 90.112         | 86.766        |
| 316719:6711 | 05/22/18 06:17:38 | 136  | 136  | 34.005         | 31.176        |
| 316720:6711 | 05/22/18 07:16:07 | 182  | 182  | 41.467         | 40.093        |
| 316721:6711 | 05/22/18 08:29:43 | 15   | 15   | 3.214          | 3.137         |
| 316722:6711 | 05/22/18 08:45:58 | 751  | 751  | 134.355        | 129.473       |
| 316723:6711 | 05/22/18 13:38:49 | 64   | 64   | 9.448          | 9.248         |
| 316758:6712 | 05/22/18 16:43:00 | 1599 | 1599 | 454.125        | 438.427       |
| 316766:6714 | 05/23/18 05:50:21 | 2148 | 2148 | 557.055        | 539.897       |
| 316876:6719 | 05/24/18 23:17:16 | 610  | 610  | 227.977        | 208.559       |
| 316877:6719 | 05/25/18 03:18:17 | 395  | 395  | 110.801        | 106.823       |
